@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'going to get ready for my dentist appointment at pm '
positive,'going to sleep good day later today goodnight '
positive,'going to take my bike to claremont village via the train and get some tofu scramble and explore '
positive,'going upstairs chilling bed work d txttt me oh btw im excited to see bia tommrow '
positive,'gonna make the best of next week '
negative,'gonna try and drink some water and eat for the first time in h hope it stays down lt last time i ate kebabking '
positive,'gonna volunteer at madres school again still trying to calculate how many friends i really have '
positive,'good afternoon'
positive,'good dance make little love get down tonight lt '
positive,'good morning'
positive,'good morning every body '
positive,'good morning love u all i feel ok i only had like coronas it was a fun night laker game later today'
positive,'good morning sunshine '
positive,'good night twitter i m tired partying all weekend peace â and always be happy '
positive,'good times dad is being far too jolly its very odd being looked after today '
negative,'goodbye analouge'
positive,'goodbye mazda always a good'
negative,'goodbye steph at home watching mall cop with my bby brother lt '
negative,'goodbye to my free time '
positive,'goodmorning again haha uggh i m getting kinda hungry '
positive,'goodnight all doodadoo lives good'
positive,'goodnight everyone i pray you all have a blessing morning i m gonna do more load of laundry'
positive,'goodnight luvs'
negative,'goodnight twitter shits been really weird with me lately i need a doctor '
negative,'goodnight yall '
positive,'goodnight'
positive,'goood morning twittz i m in an extremely good mood heading to the gym with my doll nessa '
negative,'got in a huge car accident today not feeling well '
negative,'got my hands burned sunday at a fire but doing much better i guess too many beers equal me sitting too close to a firepit lol whoops '
negative,'got sick at work kinnda feel faint'
negative,'gotta be in brandon at tomorrow for a doctors appointment'
positive,'gov t motors just peed a little http bit ly aldxf via ttac amp http bit ly pjg o'
positive,'going to bed shopping tomorrow nsn ftsk mondaaay '
negative,'going to carthageland '
positive,'going to find motrin then sleeeep '
positive,'going to london in days hopefully '
positive,'going to sleep this monster just crashed '
positive,'going to walk my daily mile later today getting ready a late breakfast w parents then going frisco the next fc dallas match '
positive,'golden spoon and dance music love '
positive,'gonna get some beauty rest amp dream about mr handsome more days '
negative,'gonna miss at least the first half of the pt honolulu top webcast'
negative,'gonnna be to worst few hours ever loveee yous and miss youss'
positive,'good i hope not my love because im in love with u and dont wanna lose u'
positive,'good morning guys making my morning cup of coffee xoxox'
positive,'good morning peeps'
positive,'good morning twitterers ily'
negative,'good night twittaz'
positive,'good weekend now isu s woooo'
negative,'goodbyeeee arizona see you in weeks '
positive,'goodmorning tweeties '
negative,'goodnight everbody hope i can fall asleep fml'
negative,'goodnight '
negative,'got a headache'
negative,'got earache and wants to go home'
negative,'got first period for summer school '
negative,'got my college interview in an hour '
positive,'got the best addon for twitter'
positive,'gotta love those shoes dora amp manny can keep you on your toes with spanish yo se que tienes un nuevo amor thats selena '
negative,'grace u suck u know i know we know '
negative,'grandfather s sick'
negative,'grandma wont cut my hari which is good and bad because she wont let me straiten it so i am stuck with this gross curly mop of hair '
positive,'great mood todayyyyyyyyy super excited for the game tonight'
negative,'great'
positive,'group shot from prom http bit ly bgd '
negative,'guess i don t live inaperfectworld'
negative,'guess what jonas cd lvatt comes out this friday here in australia that s the day i leave for my trip '
positive,'guitar in a weeeeek'
negative,'gutted that i m missing it'
negative,'guys the mouse isn t a hallucination he s a real'
negative,'h amp m dress don t fit it was really cute n cheap too the cheap part is what breaks my heart '
positive,'ha i love you too betch '
negative,'had a blood test today '
positive,'had a great time at the block party so did mackenzie '
negative,'had a not so good day but i have faith'
positive,'had a really fun afternoon'
negative,'had to go into work today grr how then i came home and had to build furniture at least i got a nice new chair '
negative,'had to take comp inside as the baterry died sadface'
negative,'had to work today hour down'
positive,'haha dating the enemy '
negative,'im so weak right now i thought i had finally found my happy ending '
negative,'i m soooo tired i have to study for all of my subjects history is gonna be so hard gt lt help me '
negative,'im sorry both of you '
negative,'im sowwy but its not like cali is any better either i just got a call from one of the exs chicks and random txts ugh '
negative,'i m speechless in a weird way'
negative,'i m still tired i think i ll make some coffee hopefully it ll keep me up z z'
negative,'i m stuck in san clemente and i have work in an hour and minutes efffffff'
negative,'i m terrified of spiders and never realized it until tonight '
negative,'i m thinking about the air france plane and all the passengers on it '
negative,'im tired and i miss my gf'
negative,'i m tired of feeling so lonely'
negative,'i m to fucking curious '
negative,'i m too scared to go on holiday these days http tinyurl com lkgtac nightmare after nightmare of plane crashes sadface '
positive,'i m trying to build a little momentum'
negative,'i m trying to do my ftv assignment i really suck at written pieces'
positive,'i m up sleeping is over rated '
negative,'i m very sad i lost another friend r i p kenneth lee i luv u i miss u'
negative,'im watching vids of enter shikari wanting to go to their signing morow might just go on my own and sit oustide hmv all day like a hobo'
negative,'in a house with no furniture waitin ikea save me i think it wud hav bin easier pick my last house up n carry it here than this move'
negative,'in n out closed the door in my face but its ok sum chick offered to buy my food yay free in n out'
negative,'in new jerz i m so emotionally split lmfao i m odeeeee hype aaaaoooowwwww but i want my beezo and mis nina '
negative,'in pain argh'
negative,'in the good old visa wavier system you filled in a green card on the plane now its a web page in advance and it costs â progress '
positive,'in the words of marv albert quot yes quot there is a god now time to play it cool we got hrs '
negative,'internet still down'
negative,'internetconnection doesn t work on my iphone '
positive,'intrigued about tomorrows rhcp universe announcement http blip fm c xs'
positive,'investing is the key to success just need the right tool'
negative,'iphone gs didn t come in gt lt darn at amp t cause my dad ordered it via them not via apple i hope it comes in tomorrow'
negative,'iphone gs in hand updating it with all my crap '
negative,'iphone activation server not available gonna give it a few my friend had the problem then it started working argh '
negative,'iremeber he told me dopeboys got them girls gone wild then i was jst listening to it '
negative,'is about to die coach trip c it s lols watch it '
negative,'is all i can say'
negative,'is anyone here lori paige '
positive,'is bored but for some reason oddly happy'
positive,'is happy today'
negative,'is having spag bowl was going to have a bbq but tesco had no rolls at all '
negative,'graduation'
negative,'great day on sanibel saw fish'
positive,'great great great great day rock band singing is my new favorite '
negative,'great i thinks rags is sick this might mean a second er vet visit this month '
negative,'great can t get online at moms house craptastic'
positive,'greeeeattttt fuckingf night much bneeded '
negative,'grieving a fam n our community whose kids died after playing hide amp seek amp getting stuck n a car trunk parents watch ur babies '
negative,'grrr my twitter doesn t work with my celphone'
negative,'grrr why does maths have to be so frustratingly annoying and mind boggiling '
negative,'guess i didn t get the job '
negative,'guy troubles he just has to have a girlfriend '
positive,'had a cool lil night now at berrie s about to eat pizza waitin for noel president'
positive,'had a good weekend'
negative,'had a really bad day '
negative,'haha my dragon jus tried to attack me'
negative,'hahah annetteluna says to me yea we need to go to target so we can get you a hotdog and you ll shut up'
negative,'hanging by a moment by lifehouse always makes crave a boo '
negative,'hangover'
positive,'happy th anniversary to us awww barry is about to take me somewhere be back later '
positive,'happy day cash cash party in your bedroom on xm radio'
positive,'happy for you'
negative,'happy graduation th i ll miss some of you a lot don t get to e mail lots of love olivia '
positive,'happy juice http twitpic com e bz'
positive,'happy mothers day mom http twitpic com x '
negative,'happy saturday but its closer to monday but it s summer d'
negative,'harley told me here b day is on the th of nov omdz'
positive,'harry potter yay '
negative,'has a touch of the old prickley heat rash '
negative,'hate my liiiiiiiife'
positive,'hate this song http blip fm jg f'
negative,'hates itunes '
negative,'hates the summer only cz it gives a hardcore tan on arms and face '
negative,'hates work'
positive,'have a great sunday be blessed and encouraged i m going to pass out now haha earlier than usual yay god bless you '
negative,'have to do the dishes'
negative,'have to leave for class '
negative,'have to leave soon'
negative,'have to work on homework tmrw '
positive,'having a good day'
positive,'having a smoothie and watchin a movie '
negative,'having just a horrible sad day i hate those so much '
negative,'having no money sucks '
negative,'having trouble sleeping '
negative,'he always does this '
negative,'he read my last message on myspace'
negative,'headache '
positive,'heading my dad s store'
positive,'heart it races black glass extravaganza and then downtown smiles all day as usual '
negative,'heavy rain forecast for saturday at epsom derby '
positive,'hella people have no idea who i am hehehe'
positive,'haha have fun girl have fun at thaaat mormon dance tonightt too '
positive,'haha off the phone with my bby i lovee youu nitee '
positive,'hanging with jon i love ashley '
positive,'happily falling head over heels for him lt '
positive,'happpy monday night everyone '
positive,'happy and singing extreme quot more than words quot â http twt fm musicmonday'
negative,'happy fathers day iludaddy first father s day sans father '
positive,'happy flip indy day mabuhay schweet oh wait'
positive,'happy to meet the old friends '
positive,'happy today http estrella azul wordpress com '
negative,'hard night it has only begun '
positive,'harry potter with bella and emmaline making hotdogs '
negative,'hate being stuck at home not able to do anything before my last day at hollywood'
negative,'hate going to the doctors also hate having to go back an hour later to get prescription '
negative,'hate holidays'
negative,'hate public transport stood waiting over half an hour for a bus which didnt show up luckily i got a lift to work'
negative,'hate shit strirrers'
negative,'have a cold lt not fun '
negative,'have an awesome leave dont forget aboot me have a shit load of beers for me but do it safely later '
positive,'have i told u how much i like u day '
negative,'have to drive home now amp leave the show in the middle be back soon '
negative,'have to take my mom to the hospital hopefully she ll be alright'
negative,'haven t been able to get thru to ticketmaster to get ac dc tickets wtf'
negative,'havent twittered in so long'
negative,'having a day in bed not feeling myself at all today '
negative,'having a down moment i think i need sleep totally want to work my but off at something i believe in but don t think i ever will '
positive,'having a good night hehe almost time to get homegirl and come home and sleep im so damn sleepy '
positive,'having a very nice day'
negative,'hay fever has finally got me ick '
positive,'he makes me so happy '
positive,'he makes my little heart smile'
negative,'he never call me gt lt i ll come psh yeah right i swear i m so going get him im an angel but i can be a devil '
negative,'he wasn t able to stay the whole night he has to go back to camp i ll miss him '
negative,'headache '
negative,'headaches kill especially when your trying to study for an sol '
negative,'headaches suck ass '
negative,'headphones broke not happy'
positive,'hehe lizzie gibson is a ledge cant wait to see her in a few weeks xxx'
positive,'hello'
negative,'he s mad at me'
positive,'hey im back haha'
positive,'hey ya all peace out followfriday please i want followers so give out this message follow crizzyx thanks '
negative,'hi papa had to go to bocce for me cuz my backo is wacko'
positive,'hihooo but'
positive,'hmm life s been pretty good to me lately i m quite content '
negative,'is it possible to get withdrawal symptoms from a person '
positive,'is much better now '
positive,'is not a face'
negative,'is really sad '
negative,'is sad '
positive,'is trying to make a song and watching ellen degeneres show '
negative,'is worried about her mom '
positive,'isn t beer just sparkiing water with alcohol in it '
negative,'it broke awe its so sad'
negative,'it gets harder each time he leaves i haven t been able to get a goodnight sleep since then i miss him'
negative,'it isn t working this picture thing is upsetting me i see it only when it enlarge it '
negative,'it makes me sad'
negative,'it seems summer is coming to an end again'
negative,'it should be not a wink gt lt '
negative,'it still wont let me log in i know my user s thier cos anth sent me a friend request'
negative,'it will only be me meeting the guys maybe next time they come watty can go '
negative,'it would appear that my garmin'
negative,'its o clock and my parents still are not home they ditched me i think how depressing lol'
negative,'it s already h o t i m ready for fall'
positive,'it s an old jeremy enigk night return of the frog queen united states of leland ost love enigk '
positive,'its castiel the angle '
negative,'its cold and semi rainy here'
negative,'its coming'
positive,'its follow friday '
positive,'its going to be a good day'
positive,'its loud again '
negative,'it s not gonna be a good day tomorrow '
negative,'its such a sad day today and i hav nothing to do except for stupid over the summer school work '
negative,'its wasnt me your honour i swear on my life im blonde please take pity '
negative,'i ve been bitten by bitey things all over my legs and it itches like fuck '
negative,'i ve been iming youu'
negative,'i ve been missing you '
negative,'i ve been trying to get my husband to tweet he is adamant about not doing so poor kathleen lol i got a quot hey quot out of him though haha '
positive,'i ve been working out too much my back hurts ouch'
negative,'i ve got to work in hrs and i don t want to leave this party '
negative,'i ve gotta stop eating someone take all this food away'
negative,'i ve had a bad days to top it off'
positive,'i ve had a good day '
positive,'ive nbeem drink for s few hourst'
negative,'i ve seen that episode time to turn over'
negative,'i ve wanted allison to win america s next top model since the beginning gosh'
positive,'jajajaja what do you mean quot in some way quot gt lt '
negative,'jay leno s last show'
negative,'jay s last show in minutes '
negative,'jb is in toronto'
negative,'jeep breaks down'
negative,'jive mad i aint get tew c da game its all gud doe had make sat man holetime i new da lakers was gon fry sum shit up lls'
negative,'home from my trip to alberta now and i am sooo tired such a long drive home '
negative,'homeless man just got arrested i have every reason for going to give excuses for him to be released i wish i had the gaul '
negative,'hope all is well in the kill hannah camp '
negative,'hope my momma s okay '
negative,'hope that wouldn t happen in real life'
negative,'hopefully not niceonkeys '
negative,'horse and just finished they were very tired eurovisions runaway leader took away all the tension '
negative,'hospitals sukk'
positive,'how are you all been very hot i must say '
negative,'how can finding somewair to live next year be such hard work '
negative,'how can i be out of eggs no baking for me this morning'
negative,'how much crying can one person really do i mean come on'
negative,'how my solve this thing '
negative,'how r u all todaii'
negative,'how sad my phone is dead and i don t have my charger ugh'
negative,'how the duck am i supposed to write art history words on something i can hardly see '
positive,'how to tell if your son is gay pic http digg com d tppb t'
negative,'hoy no ha sido un buen dã a at all need support '
negative,'http bit ly k lxe they looked so happy here '
positive,'http bit ly y yjq i m reading the peak of hotness '
negative,'http psychcentral com maniaquiz htm good thing you can t trust online quizzes'
negative,'http screens delaender net ea d fd a dd af f aa c png textmate hasn t enough memory i got gb ram hmm'
negative,'i missed church again stupid backwards sleeping habits '
positive,'i lt bobby'
negative,'i accidentally slammed the door on one of my toes cause i thought my foot wasn t there it did bleed but it s stopped now '
positive,'i adore leather corsets '
positive,'i agree oasisstasis http ff im dojm'
negative,'i already said goodbye to my besties adrianacoffey monicaramos verooperez amp paulettecolberg las amo i ll miss you ily '
negative,'i always hoped it wasn t true '
negative,'i always lose no matter how nice i am '
positive,'i am bored'
negative,'i am gonna miss sam bradley s concert in l a only one day earlier damn '
negative,'i am not certified http bit ly rkidd'
negative,'i am sick of being poorly now'
negative,'i am so drained'
negative,'i am so sunburnt that it hurts'
negative,'i am still uber sick lol'
negative,'i am such a wus these days '
negative,'i am thoroughly disappointed that penny and leonard are still not together and that penny just broke my heart with one sentence '
positive,'i am what i say i am i am yashawini a successful woman'
positive,'i be cool'
positive,'i believe in you my love'
positive,'i bet you were with him pitx oh'
positive,'i bought a torchwood book yesterday and nearly a dr who one but it was in the kids bit and my friend was laughing about it '
positive,'hello summer listenin to nevershoutnever makes me feel all summery lunch time y '
positive,'hello twitter th update wooohooo '
negative,'help i dont know what to wear tomorrow nite i have my pink lady jacket but thats it any idea s what else to do '
positive,'he s a keeper for sure cuz the boi has even got me smilin n my sleep wow '
positive,'hey all im bored and since im wating for cliare before going to my grans i thought i would twitter lol'
negative,'hey isn t this easy '
negative,'hey u guys r on im going to canada today for an unhappy reason '
negative,'hit by someone running a red light my cars totalled but thank god i just have a headache amp nothing more '
positive,'hmm i really like the songs on the summer ep lt nsn'
negative,'holy shit '
negative,'home and away i ve been home to watch this every day this week '
positive,'home from a friends aha great party '
negative,'home from ninja weekend i will miss you dearly best spent on tickets '
negative,'homework '
negative,'homework uggh'
positive,'honorary hollywood mom mafia bostonmamas petitemommy blissnine momsquadblog all moms twitterparents momsofamerica followfriday'
negative,'hope it gets better soon missjeffreestar'
negative,'hopefully i make it to next years parade yes'
positive,'how beautiful is prince oh my goodness'
negative,'how do i make my headache go away '
negative,'how do you just ignore them when theyre online too god i want my friend back '
positive,'how i love the sun and its powers'
negative,'how lame it is that i want my scranton shirt so bad just so i can take a photo of tim and i wearing our dm picnic shirts together '
positive,'how much do i love this just stopped to grab a bite on the road and as we walk in summertime came on lt '
positive,'how s everybody i m finna go how about them apples d'
negative,'http bit ly misvv please find him ok can t stand this tearing ryry apart '
positive,'http www inimacopiilor ro campanie campanie php pt copii'
negative,'hubby went to pick up my fringe comics today store by his work that store was out of business too no comix in houston have web '
negative,'hungry and indecisive'
positive,'i also like this night i ll hibernate now '
negative,'i am burnt to a crisp sunburn sucks '
negative,'i am regretting getting that film developed rip'
negative,'i am so over it all '
negative,'i am so worried '
negative,'i am wiv achey head '
negative,'i aways feel terrible when my friends get yelled at '
negative,'i beeeeen sayin when my last days were heffer lol lol next time forsure when u and nessb o graduate in years'
positive,'i call you'
negative,'i came home and didnt have anyone to tell how my day was to'
negative,'i can only think of one way to get out of this stupid loop of shitty moods'
negative,'i cannot print from ubuntu to my samsung printer'
negative,'i cant believe it'
negative,'i can t block people anymore what s wrong '
negative,'i can t drive myself to school until december'
negative,'joe and stella stop being so cute i only know disney is tempting me with forbidden fruit '
negative,'jon amp kate plus on monday might make me really sad stay together for the kidssssssss '
negative,'jonas brothers d concert movie is out on the th of may and i can t go because of school interviews but i ll see it sat hopefully '
positive,'jonas brothers'
positive,'josh groban s music is my happy place '
negative,'jst received sm profound words rm the last guy i dated thx chigo'
positive,'jus chillen with the homies on the west sieedahh'
negative,'just been taken into a pet shop with staceynoir tarantulas and mini crocodiles'
negative,'just busted my head on my friends windshield i hurt '
negative,'just came back from memorial of a friend around turned up i m so sad right now rip tom'
negative,'just dropped my boi off at the airport i feel as though the l word is coming and i m resisting it '
positive,'just finished writing australia and put it up at lifesaclimb'
negative,'just found out i don t get to hear from my soldier for another week '
negative,'just found out my quot play play quot grand daddy died rip william watson thanks the memories '
positive,'just get some new clothes thx mom '
positive,'just got a notebook similar to a moleskine looking forward to purchasing one in hong kong this summer '
positive,'just got home wow that was actually fun'
negative,'just got served by a small minded jerk off so much for being funny '
positive,'just happy that s all i m tweeting now'
negative,'just like i thought everyone is busy already it now depends on lyss '
negative,'just like that '
negative,'just passed up going to my favorite bar with most of my favorite people because i hurt so bad otte '
negative,'just really upset and drunk'
negative,'just re tanlined my basketball sock tanline ftl '
positive,'just sat wit sis lookin on twitter x'
positive,'just seen a frog on the sidewalk '
positive,'just soaked in the hot springs of pagosa so nice '
positive,'just started a twitter xd'
negative,'just trying to help'
negative,'just walked in on boyfriend trying to hang himself he s okay '
negative,'just watched the farrah facett story i feel terrible for her '
negative,'just weighed self still kilos damn you body'
negative,'just woke up '
negative,'karine ruby'
negative,'karly on bb how fifian '
negative,'killer headache today was half good and half bad could use some good news '
positive,'kris lundberg is speaking at the int l virginia woolf conference today at pm come to lincoln center and support her w th st '
negative,'kyokyo chan isn t real yukyosukuji lt '
negative,'last day of holidays i wanna cry http tinyurl com d s '
negative,'last day of holidays i wanna cry http tinyurl com q o'
negative,'last day of school '
negative,'last day of summer uniform'
negative,'i broke my microphone '
negative,'i burn my tounge'
negative,'i burned my quesadilla '
negative,'i can t believe i get sick on the first week of school more days and then i m outta there ugh i hope i get better soon'
negative,'i cant believe you '
negative,'i cant fall asleep '
negative,'i can t find pistachio ice cream at my store'
negative,'i cant go to miley cyrus tour because i would be on a wedding '
negative,'i cant go to work until that means hours less tear'
negative,'i cant guys my computer got taken away i m on my moms phone'
negative,'i can t play spymaster anymore the page just keeps loading without ever actually doing so so sad wtf '
negative,'i cant see anything im from spain and i cant see it it isnt fair '
positive,'i can t stand ravenna'
negative,'i cant stop being sad'
negative,'i can t stop crying i m horrible to my husband and putting him off'
positive,'i can t wait to jdm my rsxy be ready to race this badass chick yall aint ready '
negative,'i cant wait to shower off all the dust on my body from my room argh'
negative,'i can t waite to i have a hubby and little one to come home to'
negative,'i cant watch skins mum is in the loungeroom she wont leave '
negative,'i cantt sleep averi tweeting from moms phone'
negative,'i changed my mind '
negative,'i could be at a movie right now with someone '
positive,'i could cry at how nice dannys voice sounds on radio one l '
negative,'i couldn t eat my strawberry ice cream my tummy hurts '
negative,'i couldn t go to tower records to buy lines'
negative,'i couldn t help it '
negative,'i couldv e taken a class from the ryan feng sadness aw well ima learn from mike song and tony tran thassright people '
negative,'i cut myself in like different places sucky much '
positive,'i dare you to ask for it like that '
negative,'i did not like the way i was awakened today'
negative,'i didnt expect my niqht o end this early '
negative,'i didnt go shopping'
negative,'i didn t know '
negative,'i didn t want justine to go will sam ever get eliminated gt lt masterchef'
negative,'i dislike this immensely'
negative,'i don t even know '
negative,'i dont feel all that great my head is gonna explode'
negative,'i don t feel good again wth '
negative,'i dont feel so good '
negative,'i don t have any decent looking ones at all i don t want to wear mine and look like a big dork'
negative,'i dont have lunch money'
negative,'i don t have the guts '
negative,'i dont know how to do that fringe braidy thing '
negative,'i don t know what my problem is '
negative,'i don t know '
negative,'i don t like cleaning'
negative,'i dont like it when people dont text back tim '
negative,'i don t think i can call myself quot prize winning quot '
negative,'i don t think i was wrong no matter what nobody says i really didn t want da bread i just wanted my pancakes didn t want to waist da food'
negative,'i cant find my connector for my cameraa where is itt '
negative,'i cant get ma rarse outa bed i need get sum work done '
negative,'i cant get photos to save for my twitter layout argh '
negative,'i can t get to sleep i m also doing some serious thinking lk should do an album littlekuribohygoassoundtrackalbum anyone '
negative,'i can t open my ym account grr '
negative,'i cant sleep'
negative,'i cant take the hurt '
negative,'i can t tell if he was crying '
negative,'i can t type my mad typing skills are screwed this damn papercut '
negative,'i cant upload my pic '
negative,'i can t wait only more days left '
positive,'i cant wait to leave lol'
negative,'i caught up i want moreee ugh'
negative,'i could go to italy in that time '
negative,'i cried over jon and kate i think that makes me pretty lame haha'
negative,'i cut my hair'
negative,'i didn t get picked for any show boehoe '
negative,'i didn t go to school again my head hurts so bad again this sucks again '
negative,'i do look like luda'
negative,'i dont feel good at all my tummy and head hurts really bad '
negative,'i dont know how to get the output type from nast and tsp tables but tomorrow i will find that'
negative,'i don t know what i did myhaloromance'
negative,'i don t know what to say but '
negative,'i don t know what to wear '
negative,'i don t know '
negative,'i dont like strapless bras either '
negative,'i dont like that phone anymore '
negative,'i dont like the fact my gay best friend is in tears â '
negative,'i don t like thunderstorms just let me hide '
negative,'i don t like your livejournal because you don t use fancy words like that in real life '
negative,'i don t really wanna do this love stinks sometimes '
negative,'i dont wanna wait more dayss'
negative,'i dont want her to be mad at me she is sooo sweet '
negative,'i dont want to go to bed but im so tired'
negative,'i dont wanta go to school today '
negative,'i dontcthink i slept enough '
negative,'i dontttttttttttt feeeeeeeeel goooood '
negative,'i feel bad now '
negative,'i feel like a idiot yet again '
negative,'i feel like freakin crying'
negative,'i feel like there s school tomorrow most likely there will be noooooooo '
negative,'i feel sad discouraged lonely unlucky '
negative,'i feel so shitty fml '
negative,'i find no reason to keep on going anymore '
negative,'i finished the cookies too fast now i don t have cookies for tomorrow '
positive,'i forgot how many great songs this mystery band had annielicious http blip fm e qp'
negative,'i forgot to put away my laundry earlier so my beds full of clothes guess its going on the floor dog hair is always in'
negative,'i get my flip flops in a few days but i am not happy '
positive,'i get to do a review for katie and nina and for colette when it gets here life is good '
positive,'i get to sleep in as late as i want tomorrow i m so excited '
negative,'i got a d in foundation mock http twitpic com slt '
negative,'i don t think i ll be able to wear my hair extensions all week i don t have enough time to put them on really busy week'
negative,'i dont understand twitter'
negative,'i don t wanna go to work '
negative,'i don t wanna what i do want'
negative,'i don t want a million followers and sending out the exact same tweet is annoying how can people with updates have followers so sad '
negative,'i don t want to go to work'
negative,'i feel bad i woke you up but thats awesome do it so i can be addicted to you too '
negative,'i feel bad i love you sweetheart'
negative,'i feel like my insides are slowly being torn from my body '
negative,'i feel like shit'
negative,'i feel like such a loser i hate hills'
negative,'i feel lonely '
positive,'i feel proud that took up the whole thing'
negative,'i feel really alone'
negative,'i feel really really really fucking sick'
negative,'i feel so disconnected without aim work dammit '
negative,'i feel so naked without my ipod '
negative,'i feel so replaced '
negative,'i feel terrible gosh'
negative,'i feel the way this sign looks stay up twitter peeps'
negative,'i fell down the stairs lol stoooopid straightener '
negative,'i felt really sad when i heard that paul mccartney s squirrel was going to be shot fortunately i d got the w http htxt it l qkpsik'
negative,'i found out my mum has got cancer off the womb and she was supposed to go for an operation on saturday but she didn t go and i feel upset'
negative,'i go on twitter nd find out he has a girl '
positive,'i got my eye on u lol'
negative,'i got scolded for not waiting and spending more to find my perfect storage solution saddies guess i should have hangs head '
negative,'i got so scared tonight love you kristengraham'
negative,'i got yelled at helping the cats by my neighbor'
negative,'i got you anytime man just holla if you need me '
positive,'i gotta remember to update more frequently i don t have my blackberry it was so much easier how is everyone doing '
negative,'i guess all the finger crossing in the world couldn t help her '
negative,'i guess i m no sherlock'
