@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'ebeth haha i m sure that s gonna impress them whoever they are in this day and age '
negative,'ebeth i wanted to get involved in ebethchallenge yesterday'
negative,'ebeth i went on a date once who followed me home and sat on my doorstep until i let him in amp shagged him it took hours until he went '
negative,'ebeth i would dm'
positive,'ebeth its times like those that a tazer would be bloody useful quick zap would shift any random bus bloke '
positive,'ebeth lol my battery died so i had to sign out too x'
negative,'ebeth sucks doesnt it back to work '
positive,'ebethabrahamson i knew you d iove that song '
positive,'ebf julianocastro maiconjunches everaldo thanks guys and be careful with me'
positive,'ebfryer that guy can cheer anybody up '
positive,'ebilgatoloco i hope you find some cool stuff i can t talk about sleep i ve spent of the last hours on the same assignment xd'
negative,'ebinion aw i see well'
negative,'ebizconsultant it s absolutely insane i found profiles in a row with the exact same bio'
positive,'ebjohns nice job on the vid'
positive,'eblouissant love your thingsmummysaid haha gotta love the heals '
positive,'ebmuftuoglu who bites you without any mark honey '
positive,'ebnikki thanks mamm i will '
negative,'ebone nah'
negative,'ebongray oh noes so sad '
positive,'ebonica great news no amazing news '
negative,'ebonistephae awww i had one of those recently too '
negative,'ebonistephae fck method man his ass aint show for the damn concert i hate his sexy ass now '
negative,'ebonistephae wait a minute'
negative,'ebonistephae whoa who s dissin you flicked me off cause i been runnin around looks at phone nope'
negative,'ebonistephae yes girl and starving too '
positive,'ebonyeeee i looooove sam wow i will be copping that thanks for sharing'
positive,'ebonyeeee i told her i m not home and you know i m highly against blogtv you guys have fun '
negative,'ebonylovemusic where have you been all my life sis im tired of only getting to see you during these girls club events'
positive,'ebonyprincess '
negative,'ebonystarr it s raining'
negative,'ebonystarr srsly'
positive,'eboost hi there love eboost pink lemonade i clicked on the link but there wasn t a code for off please advise '
positive,'eboxhead sorry at least you re done now '
positive,'ebphotos never again is one of those things that we unfortunately end up having to say more than once '
positive,'ebreynoso'
negative,'ebrown ahhh heroes reigns supreme'
positive,'ebrown hahaha well'
negative,'ebrown i don t have any horny kitties following me i feel so left out '
negative,'ebrown me do u have hughesnet by any chance i m reduced to phone signal '
positive,'ebrown that s not the problem the problem is it ll be am here and i ll be asleep but thank you '
positive,'ebruchez feels good now the hardest part will be to keep it empty every day or at least several times a week '
positive,'ebrunk you re welcome '
positive,'ebs thank you how are you doing today '
positive,'ebstarling just a day old so still in nappies trying to change theme for one of my mumï s images doesnï t show yet icon up in goes '
positive,'ebtichosen aww it sounds lovely yeh i took quite a few pics'
positive,'ebulajonez oh gosh that sounds so delicious i m studying w my yummy mocha that i snuck in also power rangers ftw '
positive,'ebunce haha you have the same name as me lol '
positive,'ebunoluwa because you suck yeh '
positive,'eburnsprepjerks ur th follower is one of mine luveysun i love her '
positive,'ebuyerdotcom how come there is an advert for kitchens on ebuyer just ordered more laptops brilliant ta '
positive,'ebwriters thank you for the follow friday '
positive,'ebzallonia yess i m fine thx love u '
negative,'ecalderon ugh'
positive,'crackershunter fanfiction keren ceritanya hehe '
negative,'crackershunter u know manutd is my passion i dont mean to harsh u beside my family canceled it cause it s getting late night '
negative,'crackerwax that s it i give up end of all my tweeting on iran it s doing my fucking head in seriously'
positive,'crackmazterz cool '
positive,'crackpotideas tem gaï cho tb '
negative,'crackpotjack it s only june plus i m a browns fan so i have no expectation for this season i say for my brownies '
negative,'crackpotjack oh'
positive,'crackrjakk thanks needs a bit of updating though'
negative,'crackrjakk'
negative,'cracksh t i love you'
positive,'crads por fin '
positive,'craff nice thanks for that one daughter will also be thankful amp impressed '
positive,'craft candy aren t they fantastic love quentin blake s illustrations '
negative,'craftedgems that sounds absolutely delicious now i really want cake '
positive,'craftie thanks we re pretty fond of y all too '
positive,'crafty mama i ll let you know later quot not well quot would be my comment now but'
positive,'crafty i ve actually considered it i have that administrative type of mind maybe even a fine arts administrator that d be nice '
positive,'crafty smiles'
negative,'craftyasparagus and it s raining here '
positive,'craftyballerina pretty crazy huh i couldn t believe it '
positive,'craftyballerina well i m glad you re taking lots of breaks '
positive,'craftychica http twitpic com uadm well'
positive,'craftycrafty i really like that '
positive,'craftydame thanks chica yes i did wear them til i got fat again lol'
positive,'craftyellen good on you that s actually good news '
positive,'craftygagal thank ya girl haven t been keeping up with my etsy shop much too much goin on '
negative,'craftygirl i know maybe i ll search online for some fantasy book names'
positive,'craftygirl i know you were'
positive,'craftygirljen or i could just play tetris'
positive,'craftyhope hey wonderful we all need a little fun now and again '
positive,'craftymaddie ah that s brilliant'
positive,'craftymamaof hahahaha because they take after my kids '
positive,'craftymoni yeah you might want to wait for that first cup '
positive,'craftysince about time lol jk '
positive,'craftzing no prob i had to ask too when i was new '
positive,'cragchris just checked martin clunes is part series so might be on tonight or not saw trailer ad looks stunning '
positive,'craggsc how is your eyebrow now hope they ok hope u have a great weekend with your boyfriend '
negative,'crahan what that sucks '
negative,'ecalderon no '
negative,'ecalderon yes thanks for getting me more hungry ugh erika you re a meany with me '
negative,'ecaps arrrrg it must be bad mcdonald burger king always hire'
positive,'ecaps get defraggler its ace '
positive,'ecaps hahahaa looks in secret hiding place mwahahhahaa more there '
positive,'ecaps hehehee ti think they are blissfully unaware of their fates '
positive,'ecaps i know it '
positive,'ecaps i know the feeling '
positive,'ecaps i ooze trendy now i m thinking of adopting a poor orphan and carrying a bottle of mineral water '
negative,'ecaps its a clicky one but i had to set it to max to do it stupid thing also running out of test strips and jabbys '
positive,'ecaps thats the spirit '
positive,'ecaps think some sort of typography '
negative,'ecaps yes i agree i think they need to get it sorted '
negative,'ecarter i got sticky uppy hair guid xxx'
positive,'ecasama must of looked cleaner when you left lol hugz'
positive,'eccampbell have a blast how fun '
negative,'eccentricemily and you still havent replied '
negative,'ecco yeah'
negative,'ecctv does your cat murder them in these dreams '
negative,'ecctv if you re not happy'
negative,'ecdavies that sucks about the dog '
positive,'ecee maaan kari ferrell has an i love beards tattoo she can swindle anyone she effing wants yeh i said effing'
positive,'ecelebrating yay'
positive,'eceolcay nadal and his stretched shorts '
positive,'ecgric not sure'
negative,'echa javajazz ikut donk butuh refreshing lagi nih '
positive,'echa javajazz thanks dude that means a lot '
negative,'echa xoxo oh'
positive,'echarperouge awwww it looks so cute lovely chop job '
positive,'echcon ãšc cã ch viá t nam khoáº ng tiáº ng'
positive,'echeloneffect nice work whore see bein sick has its advantages lotsa time to lay around and catch up on movies '
negative,'echemise lol sorry luh im abit slow hahah i rly love that show i always watch it and im sad that theyre not tgther anymore '
negative,'echo ouch that looks painful '
negative,'echo twitter has been having background quot issues quot lately '
negative,'echo that stinks '
negative,'echoart you never tweet anymore '
positive,'echobase oh yay i m glad it s there thanks for finding it for me '
positive,'echobase yeah i m never prepared for ff and i never have a list of names i can write down it s pretty sad '
negative,'echogideon hiya echo haven t seen you much the last few days my laptop had a meltdown so i m not online as much right now '
positive,'echogideon oh thank you she was so thrilled that she had follows almost immediately i told her it was addictive '
positive,'echogideon we aren t going to have to fight over them are we i m an open minded person'
positive,'eburnsprepjerks ok when where who what etc '
positive,'ebusandy oh and we did create some super awesome robot aliens from reverse art truck finds room messy kids and grownups happy'
positive,'ebuyerdotcom would http bit ly g ooj work with an oem mce remote and does it support vista without drivers thanks '
negative,'ebzz yay'
positive,'ec mike sweet i m going to see it tomorrow afternoon '
positive,'ecachan haha if thurs also can no problem '
negative,'ecalcags '
negative,'ecalderon good for ignoring me '
positive,'ecalderon people here love taking pics '
negative,'ecalderon so where are you lol noooo drinking is bad where you going to that amp over club again '
negative,'ecalderon ugh meany no not yeyt but i think this is the last set of drinks and it ll be gone for sure i wan shrimp '
positive,'ecandelario haha sorry i dont give that out with out like haveing a convo with the person anyways whats up '
negative,'ecandis yea me at am im runninq on no sleep '
positive,'ecaps hahahaha good idea would be cheaper jsut to buy a kite '
negative,'ecas we missed him sadness'
negative,'ecastillo ta madre s'
positive,'ecastx amazing and wet '
negative,'ecato lmfao aww cato but neway tell my bestie yea uve been replaced lol but yea my bestie erin tell her i said hi c u monday p lol'
positive,'eccentricsoul i approve'
positive,'eccoitaly good morning italy we will visit your beautiful country in a few days time milano fair have a happysunday '
negative,'ecctv haha i would but it s not true katie still makes it true now i feel purposeless '
negative,'ecctv i think we broke lj'
negative,'ecctv if it makes you feel better i lost overnight cause i posted a picture of a baby '
negative,'ecctv lol i know'
positive,'ecctv look what i just found while dong some cleaning if i had a mantle'
negative,'ecctv that s so awful '
positive,'ecdesignz hey thxs for the follow design freebies is a new service to provide designers with great freebies online spread the word '
negative,'ecelebrating ick is right hubby in the doghouse today '
positive,'ecesarrivera turbo tax works wonders good luck '
positive,'ecgric i use the ff searchbar plugin thingy '
negative,'ecgric i will check tomorrow the lag is too bad to even move '
negative,'ecgric it is sad she battled colon cancer for years '
negative,'ecgric it d be nice i have an old house with no storm shutters i want some'
positive,'ech of irony a profile pic with you in it would be good '
positive,'echarlotte hi on twitter lol i don t use it very much its confusing sometimes but yay more days bubble eeek xx'
negative,'echcon thã ng cháº c cå ng cã táº p ä æ á c tuáº n '
negative,'echeloneffect lt oh i didnt go tonight btw its been so rainy and im still sick'
positive,'echogideon yep and you can eat italian one night and it won t get mad or possessive if you eat french the next '
negative,'echoglass sorry didn t get back on last night hubby is a truck driver amp just left for days feelin a little sad already '
positive,'echoinghim it was my pleasure playing guitar for you so fun '
negative,'echoisthename lol'
positive,'echoisthename well thank you boo buddy more pics tomorrow theme s s pin up i m excited '
positive,'echoleigh happy wedding day'
negative,'echolot brilliantology is it star wars day every th of the month or is there a film out today i don t unnerstan '
negative,'echolot no'
positive,'echon we have the entire set '
negative,'echopetal hey jason switched my schedule so i have to close tomorrow night still up to do something just after sorry '
negative,'echoshack ouch but he s have have told you before he left '
positive,'echoskope i think it is as web booty call '
positive,'echoskope i took lessons for many years'
negative,'echothirteen i just realized that i could have voted for marty with all of my email accounts '
positive,'echothirteen i used to do it a little'
negative,'echothirteen that s ned s in a nutshell '
positive,'echromance haha hope you come up with something ryan and i are going to a baseball game '
positive,'echsizzles hihi you re welcome '
positive,'echtenbruck many thanks for our common marathon run it was really great'
positive,'ecila good thing that doesn t apply to us '
positive,'ecjake thanks eric '
positive,'eckafatcat hello sexy give me a right as soon as you can love you xxxxx'
positive,'eckloster i love you '
negative,'eckorecord awww '
negative,'eckorecord hopefully money n the bank i got money in da bank sing it w me lt get a phonneee '
negative,'eckorecord i know '
negative,'ecksssy ihateyou inupload mo yung tiyan ko '
negative,'eclairez moi awe your poor hand has it gotten any better '
positive,'eclairfi yazz but i ve still got the old box but the updated software is nice enuff for now are u goin to sonar den or wut xx'
positive,'eclecticbeautyy lovin the pics '
positive,'eclecticwriter last jennie tweet just put hold on book'
positive,'eclecticwriter that sounds like a really interesting book on churchill'
positive,'eclectrica june th for us i m so excited '
positive,'ecleel well'
positive,'eclipse x no you dont'
positive,'eclipse if im honest im only following you cos you said spammy '
positive,'ecmathews the longtail should play out here too diverse solutions diverse market one s brick is another s sweetspot '
positive,'craig bucknall dammit craig you need some ajax '
positive,'craig bucknall go the rabbits '
negative,'craig bucknall i never heard it either lucky you i never got a chance to see sepultura with max'
positive,'craig bucknall westchestertonfieldville'
positive,'craig d beat you p just went on twitpic and it lets you and lol'
positive,'craig d jai ho means yours is the victory that s why '
positive,'craig forster get ready to update your phone os is out tomorrow '
negative,'craig hill yes the photo is me but after an hour i can t seem to get the dang thing to take '
positive,'craig martin very true '
positive,'craig schutz yes im me and why are you going to the smithsonian and to dc omgosh yes i lt you '
negative,'craig steele i did have it but i don t have it anymore '
negative,'craig steele i know i don t even have a job at the moment and i m going out on friday night'
positive,'craig steele i like galaxy'
negative,'craig ward oh yeh i saw you mention that'
negative,'craig ward scary isn t it '
positive,'craig tv congrats again i m with aysu'
positive,'craig tv uh oh is somebody getting ready to buy a doggity fun'
positive,'craig k and hello to you too i was still typing when you popped in oo'
positive,'craig k happy birthday lt does that look like a smiley in a party hat oh well'
positive,'craig k i liked the pics you took at rebcphl too haha you ll have to test it out more next time lots of features and good price '
positive,'craigavp the fact that you have this hooked up to your twitter makes me laugh '
positive,'craigavp whats up '
positive,'craigbollig michaelbanovsky oneighturbo carchat i will always love road courses more'
positive,'craigburgess oops'
positive,'craigclarke you better be in tomorrow'
negative,'craigelder charlottegore i really don t want to admit how long it took me to figure that one out '
negative,'craigend there are some things in life that truely scare me that being one of them '
positive,'craigeryowens get well please '
positive,'craigeryowens goooodmorning '
positive,'craigeryowens http twitpic com eqsx lol hottt '
positive,'craigeryowens i didnt know there was a contest ahh lol either thnx for givin usa listen we appreciate it '
positive,'craigeryowens if you and the boys in chiodos ever need a place stay let me know we live about two hours west of chicago '
positive,'craigeryowens it was such a good movie '
positive,'craigeryowens pretty sure you should release it in australia first to show the down under love '
positive,'craigeryowens yaay '
positive,'craigeth i took like and used '
positive,'craigeyles thanks for the followfriday '
negative,'echeloneffect ahh yeah i gotta get some more eh im all out '
positive,'echelonprincess because its more fun to go like on your phone '
positive,'echo i luv it'
negative,'echobase you have three days relax i have technical articles to read and write wiki on them before tuesday '
positive,'echoftw welcome girl '
negative,'echogulf my problem is that he is not an asshole he is really sweet '
positive,'echohattix hola mi powerful pr lady you last night was great you are amazing you know that right besos mami '
negative,'echolocated it s politica in washington as usual if they piced a white old rich guy that would be racists too '
positive,'echon wow'
negative,'echoshack finally watched that clip you sent me the memories thanks for sharing'
positive,'echosurrey thnx miss i ll go her house now have a sweet dream x'
positive,'echyempties hey echy '
positive,'ecirez we ll watch pcd concert'
negative,'eckdorable ok'
negative,'eckii unfortunately'
negative,'eckii well'
negative,'eckler i don t remember sorry i just noticed your question weeks later lol '
negative,'eckorecord unfollow me and refollow me it wont let me dm u '
positive,'eckrall i know i know only two weeks'
negative,'ecksssy i hate you inupload mo yung tiyan ko '
positive,'eckstatic i think my roommate is going to do that to me with comic sans after i made her change her email signature to stop using it '
positive,'eclairemom yup he loves comments he is going to be a blogger when he gets older i think '
positive,'eclasper ooh'
positive,'eclecticbeautyy hello '
positive,'eclecticbeautyy lol '
positive,'eclecticbeautyy thank ya you re next '
negative,'eclecticchair honey all we can do is dream '
positive,'eclecticechoes thanks '
positive,'eclecticmoi your butterfly earings didn t last long did they lovely '
positive,'eclecticphoto what s wrong with you '
negative,'eclecticxmanda it s both a good amp a bad thing it means a lot of people like him'
negative,'eclipseforever i heard sum dq mxtube but i aibt getting anything thanxx thou check me '
positive,'eclyn tau pun it s like ancient considered displaying it in a museum yet '
positive,'ecnmst loads of uni s do foundation medicine'
positive,'ecobaby lol thanks for sharing that great to know i m not alone '
negative,'ecobaby my son has bad reactions'
positive,'ecobject '
positive,'ecochic it is he has such a smooth sexy voice '
negative,'ecochic augnbudsmom the only problem is that the vending machine shoes are only available in the uk for now cool stuff tho'
negative,'craigfots completely knackered yep make sure you take cash as they have no card facility now the shop is now a portacabin by the th '
positive,'craiggold no problemo today has been a good day how s you '
negative,'craiggold sorry to hear that thoughts amp prayers for you and your friend s family '
positive,'craigkendall wake up and ride bikes immediately that s what we just did '
positive,'craigkuhns thanks '
negative,'craigmackk what you re going wine tasting without me sadness '
positive,'craigmarkillie ok cool no prob '
positive,'craign think i presumed your qotd means to be careful what you geek about isn t that paradoxical against the quot way of the geek quot '
positive,'craignewmark and'
positive,'craignewmark i m tired of seeing our pres head chopped in your avatar here ya go http bit ly oc kj'
negative,'craignewmark the pufferfish ate your link '
positive,'craignicol whoever ive had an interesting coversation with or tweet something useful in the past few days '
positive,'craigochs yeah ubertwitter rocks '
positive,'craigory whew good to hear i hate cops '
positive,'craigp have you heard of quot the power of positive thinking quot i m not sure you re doing it right '
positive,'craigralph if you ve jailbroken or went to early'
negative,'craigritchie i get failed security errors every time i try the prototype experience '
positive,'craigritchie thanks for the followfriday craig right back at ya '
positive,'craigrlutz i hope you feel better check out jean s pics from this weekend surprise for you '
negative,'craigrodney love the idea of a golf course but zebula s too small '
negative,'craigross i m at home had to come home last night my babysitter not so easy like you lol'
positive,'craigruks how had you never seen the neverending story as half of the quot power nerd couple'
positive,'craigs craic hi craig'
positive,'craigsutton blush aw shucks'
positive,'craigsworld hey'
positive,'craigteich good morning to you did you see this adrenaline anyone http bit ly k ory'
positive,'craigteich i m going to automate you delivering me some donuts everyday '
positive,'craigteich indeed i did not go to bed at all'
positive,'craigteich yes'
positive,'craigvenables more than you can imagine you always lived in london '
positive,'craigwhendry re impact it depends if you can find a way of charging it up via solar wind power '
positive,'craigyd ahem me again i put it on there cause i loved it on gh '
negative,'craigyd bugger'
positive,'craigyd do it shaved heads are so easy to take care of '
positive,'craigyd haha'
positive,'craigyd hehe aww random'
positive,'ecmodshow i ll give it a go '
positive,'eco explorer thanks for following '
positive,'ecoaussie what s your refresh interval go to settings to set it also'
positive,'ecoblips yeah so true btw'
positive,'ecoboom ha yeah i m not sure myself on that if you find out'
positive,'ecoboom thank you for the ecomonday '
positive,'ecochic are you feeling better now '
positive,'ecochic increasing pain not normal docs asked to save it foreign accent '
positive,'ecodecor i didn t know you were an osu fan i m from ohio too '
positive,'ecodecor thank you for the ff '
positive,'ecoflic at least you re not sunburnt '
negative,'ecofosho i have to wait till the th to text from my cell '
positive,'ecohub thanks looking forward to working with you too '
negative,'ecointeractive who said we do not intend to stop the logging it s just that they shoot our protectors bagua'
negative,'ecokitty istanbul will be spectacular today sadly i have to go back to amsterdam this is by far the most interesting city in eu'
positive,'ecomomwannabe oh yes'
positive,'economicmayhem i m a regular subway sandwich passenger one near hyewha rotory sungkyunkwan university bus stop'
positive,'economistcafe ukroblogger'
negative,'ecopolitologist wow that is a scary statistic '
positive,'ecorecruiters yeah i m here for the virtual kick in the pants '
negative,'ecorrigan i have the same prob w viens oooow '
positive,'ecosaveology green tea yeah you re right '
negative,'ecosaveology sorry i missed you today let me know if you and or ed come to oklahoma or texas again ed is amazing '
positive,'ecosaveology ta'
positive,'ecosaveology'
positive,'ecosmartam you are really close heh we are on hamilton amp davie '
negative,'ecounts lov e'
negative,'ecpcorran aw hopefully you ll get it soon isn t everyone supposed to have it by the end of this week or something '
positive,'ecram i know '
positive,'ecrouch open the door i m cold and need to use the porta potty '
negative,'ecrunner nope cobrakai has a golf tournament today'
negative,'ecsh i m sorry '
negative,'ecsp oh i ve been wanting something like that '
positive,'ecstasissy just download it im still not sure dear my mom will choke me if i go to bmth concert'
negative,'ecstaticboy i just checkd your website wow'
positive,'ecstaticboy they did waaaaay back i actually had one haha my dad found it for me somewhere he s sooo into gadgets and stuff '
positive,'craigyd is that a good or a bad thing '
positive,'craigzuber thanx for the follow my blackberry follow option is gone strange'
positive,'craiiiiiig that would be great i m gonna post audio of last night s show'
negative,'crakowitz lol interscope killed my whole list '
positive,'cramd donate to my cancer cause'
positive,'cramedogg get on msn'
positive,'cramedogg listen to turn right '
negative,'cramerwatcher re your alert i did though i did sell of my etf s lost a bit of hard earned in there over the last days '
negative,'cramforce i wish i was '
positive,'cramirez go on monday night to grad party we ll take a pic there '
negative,'cranberryperson wow i m so disappointed in my run now i just saw a flattened chipmunk '
negative,'cranberrytarts hmm last i heard hittin it amp nailed have been spotted in stores borders or bn shld order u hands on is oop '
positive,'crandal um'
negative,'cranialstrain ha that s why i don t have a cat sounds like uv got a lots of prepping to do for w e am would not be a good start '
negative,'cranialstrain really you need of them one for each version of ie '
positive,'cranialstrain yes'
negative,'craniol sorry'
positive,'cranksports delayed tweets there is no dealer near me your website lists fleet feet in sacramento but they have no clue what it is '
negative,'crankthatheart i am so sorry '
positive,'crankyfrekles i m just going to assume '
negative,'crankynick turned out a cat was able to get them it was somehow pulling them through the wires of the cage '
positive,'crankyuser bfa '
negative,'cranz i was something like minutes too late for the dunedin one picked the wrong place started m from the right place '
negative,'crapdracula sounds like you had a bad experience '
negative,'crapsticks how do i make it better after being robbed of m '
positive,'craptasticguru thanks man if i ever do a tri in the states i will let you know and you can come along and drink guinness and insult me '
positive,'crash will do after v '
negative,'crash yep did everything right'
positive,'crashcarr these are better http tinyurl com agbh v '
negative,'crashdown whyy is that '
negative,'crashe alass he is straight and an exchange student '
negative,'crashgrab i would'
negative,'crashingwaves hah i won clytemnestra also you spelled my name wrong'
negative,'crashintomyarms o why no more youtube '
negative,'crashliverar well i will say you have me beat there but you make the big money mister distrubution guy'
positive,'crashoverride congratulations kisses amp hugs u '
positive,'crashovrride i know it was partly my fault'
negative,'crashpixie i m hoping it s an announcement that they re cancelling the show to work on their marriage but i dont think that s the case '
