@relation instances

@attribute turnover numeric
@attribute sector numeric
@attribute employees numeric

@data
314530,84068,40
383245,85024,20
392637,85026,36
265744,85034,37
317662,85039,57
284623,91015,30
608426,63012,82
455844,21009,1470
390056,83040,81
519781,63001,72
34450,63045,48
661424,63080,107
10774,63073,91
239602,63075,53
614153,34023,157
23866,33016,10
236137,35006,100
198638,33037,118
2412397,36015,615
90372,37011,40
1801575,34027,224
900734,34040,351
320414,37002,33
902167,35002,212
222447,36011,88
268418,37010,79
2884884,41002,1205
110530,37017,94
522697,37015,191
565501,41024,119
404055,41027,197
790584,41011,133
21367,41034,132
1831393,41048,157
29550,41081,283
239062,42003,97
1501112,42006,547
114277,42010,120
226117,42023,123
290399,42025,258
607029,42028,168
461358,43002,97
633723,43005,253
181371,43007,61
619520,43010,228
177975,43014,68
473456,44001,256
1097643,44019,398
948198,44021,5334
37215,44029,96
196289,44034,188
699236,44043,222
210400,44045,48
257481,44072,72
304786,44073,49
1948414,46003,783
400000,46013,187
485746,46014,484
565548,46020,206
705811,46021,1315
486619,46024,158
1203497,46025,306
135503,71002,64
824165,71004,410
259876,71011,163
220982,71057,176
281569,72041,222
571723,72020,344
58089,72021,287
209178,72025,90
502906,73006,323
70184,73032,91
202844,73098,51
650380,34042,288
376035,33011,0
459176,34002,137
1321723,41018,357
303036,36007,93
307647,34003,61
1191810,38016,188
324750,36010,44
289756,36019,131
190655,34009,103
863273,34041,310
826111,36008,205
342451,37007,75
327128,36006,85
230126,35014,68
174433,35005,104
130031,34025,46
623893,33029,144
1611422,38014,502
546014,38025,197
3405807,34022,1021
299653,37018,120
167065,35011,458
923090,11056,175
2750275,12025,1012
1044910,12029,146
983864,12030,177
58637,11002,8429
314283,12034,64
1375038,11009,177
1125832,12007,204
953289,11039,148
454576,13010,101
4363,13013,103
2336094,12021,369
467956,13017,147
260228,13019,154
140310,13021,138
484510,13023,118
1356373,13025,468
655395,13029,159
560479,13031,89
801761,13035,173
199949,13036,86
546719,13011,353
528395,13001,111
191265,13049,258
493437,13004,237
583901,23101,142
23256,11018,113
377033,11005,176
614273,23025,383
102337,11001,165
1086149,12035,180
49875,11037,153
522406,23050,236
19354,23060,117
496734,23062,208
92519,23086,162
1488108,23088,407
1263852,23096,118
219882,23097,97
1015708,24001,293
58315,24009,108
373328,24011,71
254554,24033,75
566425,24038,118
248070,24043,71
98142,24048,129
23053,24055,211
63089,24059,218
6464489,24062,1265
651198,24094,181
480500,24104,244
18060,24107,433
850576,24109,94
7255,24130,64
107318,31003,139
4446792,31005,1747
182332,31006,102
311551,31012,101
564527,31033,207
1016104,31040,143
576816,32003,183
326173,32006,84
169806,32010,71
342164,32011,102
1888468,13040,591
403828,23038,111
453895,23102,183
1435736,13008,449
910157,12005,128
302222,23039,74
500255,13046,91
307287,12009,229
41315,23027,362
468316,23045,202
330323,11038,98
64333,11029,462
7236,13006,101
319841,13003,204
246494,12002,109
615522,11016,131
997831,11044,173
286601,23047,218
577518,63013,89
2319243,36008,22
1521572,21004,11
1460873,53053,379
1701739,73083,0
1823944,92094,1176
559582,53053,1663
25913,45059,116
495574,63086,74
230286,31043,462
36664,73107,302
1718867,52011,0
26821334,92142,308
881887,62063,3539
64016,81001,1234
2038536,11002,1822
143496,31005,888
1224293,44021,1355
2006309,52011,1
3276296,71011,710
923646,21004,0
3993,43014,0
652267,56016,0
202789,55022,657
17354,83040,15
31352,55035,86
32913,62096,528
1039021,46021,889
63855,23088,348
114029,34022,360
24823,41034,101
5480,24066,75
91565,43010,302
1338679,35013,764
701425,11002,8267
113725,41002,742
99964,51004,363
106754,52010,129
132988,52011,2405
76263,52012,285
37253,81015,44
40758166,11002,205
27316115,83034,0
73996354,11002,166
47587284,92048,0
468163,12025,29
5818205,46003,32
6236202,34027,35
2811234,38025,35
12714985,36015,35
2444138,36008,25
1063399,46014,79
34252555,31005,193
848290,93090,0
8960732,71022,36
1683183225,21004,35054
11273865,35013,33
6140247,11002,54
56511,23016,7
359042237,34022,0
364826590,44040,0
247591,71053,0
1653987,21012,128
22329030,71022,611
495845,52011,4066
38221,44021,0
230146,25118,30
24009,52074,117
321030,63087,48
707239,82037,63
295938,83055,72
958595,84077,123
709723,85046,77
160625,85047,22
44555,91142,85
1051295,91143,47
673943,13053,117
369039,24134,182
87780,32030,21
252432,33039,74
212650,33040,67
62156,33041,30
115209,34043,14
25285,35029,200
322457,37020,64
164137,71069,90
1560560,71070,323
371193,72037,100
45379608,57081,239
91347,71037,2
1232726,46021,33
15856142,42006,138
599551,92094,0
34130467,92094,223
29215600,44021,150
1668778,23088,72
378080,23033,47
864534,23094,54
31435448,13008,287
4860184,11002,41
31947104,62051,220
3105782,92094,108
4407131,44034,47
255473,62096,3
2626651,11002,58
1296041,52011,0
13562706,43005,45
9693,56016,0
175943866,42006,0
1418660,62063,74
219948984,13040,0
105167076,21014,75
326691586,24062,1
109350588,25121,2
32347545,25121,0
350854770,21004,48
236531360,52011,0
115435816,21015,0
688566,63023,83
1242003,46003,3
384459486,21005,1458
2877061,21004,173
693724,62063,8
7033,21013,104
343475,62063,34
205031,56016,19
81113498,52011,0
194347,45035,4
9956591,54007,130
42259554,21014,0
367488546,63079,1642
9016699,44021,5186
393119756,21015,784
38516488,23003,0
310097,21004,260
1054177,62063,3196
96686,61031,1079
140246456,21004,0
3757120,62063,23
5043224,57081,62
156307465,12025,8454
37139869,21004,43
17311545,62063,73
146337645,21015,2902
25300517,13025,523
497431,53053,45
2376597,62063,22
183920220,21009,6578
37588713,44021,6132
2547217,11002,0
4729399,35013,0
292703182,11002,1645
7582251,21004,132
148163,56016,0
55837927,62063,20
13704835,44021,339
259246,24062,962
24727382,12040,898
718414,44021,444
1830253,21001,108
146319,21004,2123
16996920,11002,2795
24138,92094,0
12015233,81001,0
2020279,34022,138
8296699,35013,53
279514,25014,1
66726,25072,1
130027,46021,0
778530,62063,34
14771728,21004,86
107511,93014,14
46592,31005,2715
185665,63049,0
94175,34022,3
10016,11002,83
2081435,71022,157
599356,71011,63
11923,63067,2
713774,31005,75
48327,35013,0
1623538,13023,8
1987674,35013,7
1511967,38014,0
621111,24062,10
4542,72030,0
353888,11002,54
235740,31004,8
7120891,11002,61
3632372,12025,132
1936345,41002,0
15171896,21007,0
44786493,21004,0
181,55040,0
7027881,46021,0
363611,45035,0
24625,91114,0
65324,62063,0
36855863,62063,2312
8509164,31043,0
5861968,33011,0
1899851,92094,0
16189554,21004,84
70337,92094,0
1163822,63067,0
166775,52012,0
1498866,34022,0
20030767,44021,0
611849,44021,33
2985365,63013,72
27195,23032,0
297167,23024,0
789663,23077,12
543680,23027,6
9424747,23077,31
304826,21018,1
19360,25014,2
34382,25110,3
2210468,44011,22
2940696,41027,18
4298,51004,0
5103112,45017,13
473944,45060,2
883653,41002,1
465694,41048,4
938802,41082,18
61050,42003,0
83304,44040,0
651672,44021,6
38957,44021,0
1385230,44021,15
8841,44021,0
19344278,44021,37
2490022,44021,9
48324,44021,0
5161911,44019,49
64225,44011,1
11373633,44021,26
1120428,44019,0
746415,44040,2
253808,44021,1
8424792,13008,63
1581848,44021,9
766651,44043,4
3871030,44021,45
2056341,44021,25
30000,44021,0
1328433,44021,276
2973897,44019,5
328680,44040,0
2076679,44021,15
1419910,44021,71
164687,44021,0
16525176,44048,40
2389312,44021,7
150699,83031,1
1582817,44021,19
60412996,44021,59
73261,44021,1
499365,44021,1
23759394,23002,21
30049,44021,0
5560,44021,1
321430,11002,6
812841,44021,10
13777445,44021,21
68277,44021,92
79261,44021,0
146844484,44021,49
84696979,31005,113
4947916,44040,13
901963,35011,0
70231,44013,0
2945799,11002,7
30202,44021,0
361733,11002,663
2044399,44011,19
118200,44021,0
11107204,44021,20
2707256,11002,19
68359,44064,1
2948019,44021,2
54226,44021,0
506702,34022,5
4850333,44021,14
368690,44021,2
2619605,44040,14
8395168,44021,26
641266,44021,5
1488136,44021,6
594286,44040,5
1026209,44021,4
78212,44021,2
7396227,44021,4
1224195,44021,277
160690,44021,52
458950,44021,57
468904,44021,0
5147388,44021,14
23186025,45035,77
1890491,44021,10
2008391,44021,21
33836751,44048,109
691101,31005,0
1000,46014,0
6120731,32030,25
167902,44021,1
210644,44021,14
5436920,44021,37
894329,44021,7
387060,44021,4
3164508,44021,12
172735,44021,0
3544774,44021,12
12595790,44021,10
2207450,44021,4
55970133,31005,183
14463,44021,0
32000,44001,1
6382429,23002,13
12380208,44021,0
2933801,44021,15
115415,44048,0
322210,44021,1
965591,44021,0
1636625,44013,2
957933,44040,2
1197021,36008,7
11286530,44040,120
28843,21009,0
4801886,11002,0
5781084,44021,5
8833990,44021,22
1395049,44021,23
1922364,44021,5
1195098,44021,4
27264,44064,0
29428554,44021,33
9621569,44021,7
402939,44021,2
1630,31043,0
1783132,44021,13
9516580,44021,25
308320,44021,6
802838,44021,10
469222,44021,4
4736856,44043,29
20049308,44021,66
9011468,44021,30
1800537,44021,4
2750369,44020,23
8669626,44021,46
99095,44021,0
280247,44021,0
8130467,44021,24
276949,44021,2
72487,44021,0
4373518037,21015,7953
494778,44021,0
1208682,44048,3
17950921,44021,20
73492,44021,0
357716,36015,0
6552519,21004,0
246184,44021,1
805149,44021,2
1034046,44021,14
139600,44049,0
865250,43007,5
688765,44021,1
19256639,44021,40
3071643,42028,3
178333,44021,3
9375673,44021,26
11757112,44021,28
1880609,44021,1
6729091,44021,16
8502254,46014,74
2671039,44021,2
13987318,44021,31
4076701,42025,34
2210234,44043,16
3429168,42025,6
450728,46014,0
3749,41063,0
9141634,44040,11
57333107,44011,56
4359442,44040,19
52928,42006,0
13624597,42006,20
60548950,46014,166
5523461,44013,39
6487837,11050,11
205011,42025,0
1989136,42025,16
1093068,42025,5
20000,44034,0
21425852,42028,87
33083441,41063,240
8365301,44049,40
4431286,45035,26
584028,42025,8
7965151,44043,35
290848,42025,1
347817,12005,0
574191,44021,103
7278479,46014,34
57683,44021,0
59765,44013,0
787598,42003,5
1726176,46014,9
8917351,44034,7
94137,44021,0
11977392,42025,19
683265,44049,4
16071779,44021,43
1840147,42025,8
1393964,44034,8
27201,46014,0
14631465,41034,2
1921087,45061,15
1090377,44021,2
18113495,44021,53
18536,46014,1
13200,44064,0
552318,44012,3
35460,42003,0
404546,42003,0
141420,42006,2
1820547,44021,17
4011347,42025,14
162206,42025,5
8777763,44011,39
1279427,44013,13
65298,46014,2
2748164,42006,2
1301102,46014,7
260306,46014,1
139358,13040,1
292124,44064,5
19019839,43010,34
4510851,44021,45
1403885,44043,10
509996,46014,3
22312108,44034,95
22936,44064,0
50,46014,0
515553887,21016,533
247695,42006,0
10949051,44021,42
33583,42025,1
954674,44034,14
15900,62003,0
242007,46014,3
871528,36015,12
1526719,44021,37
311006,41063,5
150720,42026,0
45636,41027,6
194585,46014,3
222553,42026,0
948494,44021,2
25734,44021,0
29748,42006,0
55737046,42028,159
55300,44048,0
7098852,42028,95
400,34022,0
350033,44040,6
437740,46014,4
209941,42003,1
346585,44021,0
141286,46014,27
795608,44040,2
821325,42025,10
5268187,42006,9
1092858,46014,3
93948,44040,0
9403196,42025,29
3203286,42028,33
346036,12005,2
47658528,42028,26
2487465,31005,9
69071,44001,0
12068,46014,0
848578,46014,0
197956,44029,0
3877046,44011,30
7800,44043,3
255474,42028,9
1355788,42028,0
44243800,41081,51
1472587,41018,2
36861283,45041,157
12515066,45035,20
5794643,41081,3
12002708,45035,45
9644363,45035,46
59044,45035,0
1310253,45041,3
655268,45041,21
5594189,41081,53
340230,41081,1
5250,44048,0
312189,45035,7
4203909,37018,22
1958242,45059,21
521407,41082,6
36266646,42025,106
2223623,45061,1
6139782,45061,11
30588195,45041,40
5321,41027,0
802270,45057,6
1400885,45059,20
379099,45060,2
2832106,45017,1
295208,45041,1
3512043,45065,47
268867,41081,4
41973,45057,0
4477825,41002,6
2396035,44020,20
7657,45064,0
44869920,45041,16
149109262,21012,53
1194895,41048,5
34585,34023,0
1445283,45041,8
575011,41018,2
736028,46021,16
129625,41081,2
6087977,45035,31
6032728,41063,32
10112,24020,0
6692533,41082,41
74251,45059,2
2727249,45017,4
2835439,45035,0
479467,41027,3
290872,44020,1
158849,41081,1
13996363,45035,23
308307,45017,2
11346823,41027,24
11584,45035,0
37782,36011,0
19611,41027,0
864481,45035,5
13274374,45059,7
11065026,45035,82
239133470,45035,758
4732557,45035,34
44646948,45035,485
64934,44020,0
9700,44011,0
40122186,45060,21
2786910,45041,6
19104292,41018,17
534875,45041,0
428084,45017,2
90508,45065,0
3809407,45017,19
402728,41048,2
972044,45064,4
63770,45041,0
5226584,45035,6
8721,44081,0
161665,45059,0
23032,13014,2
2194161,23097,25
133448640,45041,427
104599,45041,0
2865086,45059,40
1743269,44011,12
7286439,45035,15
819885,45061,7
883202,45035,0
633026,41027,3
64077,45035,0
5099292,41081,13
12801037,45035,48
2356037,41002,16
24000,54010,0
161116,45041,2
83157,45041,0
1660625,45041,6
3732145,41081,16
1933481,41002,8
3704911,41011,9
2264226,42006,14
2283153,41002,5
57359043,41011,170
303015,41002,7
35500,41002,0
20519,41002,0
422158,41002,5
1777000,41048,7
35596,13001,0
3107360,42011,21
484325,41002,3
329666,41002,0
79421,41011,0
12743238,42011,48
733939,42004,18
152956,21004,0
464896,41082,3
29554,42006,0
8548,41011,0
339115,34022,1
7946665,41002,23
227725,21004,104
147459267,42006,5
5827032,41082,32
20228,12005,1
145575,23098,0
3757701,44021,16
282655,23102,0
2239911,33037,19
310297,41002,4
5963544,41024,5
9309680,41002,0
255859,42006,0
2835890,42006,25
8174320,41048,45
35227271,42006,39
3691210,41048,17
951113,42011,2
818343,41002,0
63149941,42011,28
